id;user;uid;version;changeset;timestamp
30636010;Bonix-mapper;2030995;8;41596636;2016-08-21T16:18:56Z
30636012;Vgeorge;62817;4;22875220;2014-06-11T16:55:19Z
30636014;Bonix-mapper;2030995;5;45610036;2017-01-29T03:31:19Z
30636122;Bonix-mapper;2030995;8;41595380;2016-08-21T15:02:54Z
30636123;Bonix-mapper;2030995;5;45610036;2017-01-29T03:31:19Z
30636124;Bonix-mapper;2030995;6;41595380;2016-08-21T15:02:55Z
30636125;Vgeorge;62817;2;22875220;2014-06-11T16:55:20Z
30636126;O fim;1842197;2;40027443;2016-06-14T21:49:03Z
30636128;Bonix-mapper;2030995;6;41595380;2016-08-21T15:02:56Z
30636129;Vgeorge;62817;5;22875220;2014-06-11T16:55:17Z
30636131;Vgeorge;62817;3;22875220;2014-06-11T16:55:17Z
30636132;Oesleiribas;559551;5;29895005;2015-04-01T01:42:34Z
30636341;Aparecido ferrari;1759682;2;18113346;2013-09-30T16:09:56Z
30636342;Bonix-mapper;2030995;4;45609970;2017-01-29T03:25:45Z
30636369;Aparecido ferrari;1759682;2;18113346;2013-09-30T16:09:56Z
30636370;Bonix-mapper;2030995;3;41595380;2016-08-21T15:02:55Z
30636430;Erickdeoliveiraleal;463504;2;21092248;2014-03-14T01:06:26Z
30636432;O fim;1842197;9;22337101;2014-05-14T16:41:39Z
30636434;Bonix-mapper;2030995;6;41595380;2016-08-21T15:02:55Z
30636435;Bonix-mapper;2030995;10;45670602;2017-01-31T01:46:36Z
30636688;Thundercel;82797;6;40179157;2016-06-21T12:01:36Z
30636692;Bonix-mapper;2030995;7;41595380;2016-08-21T15:02:56Z
30636693;Thundercel;82797;6;40179157;2016-06-21T12:01:37Z
30636694;Bonix-mapper;2030995;4;50393391;2017-07-19T02:08:22Z
30636695;Bonix-mapper;2030995;6;45817783;2017-02-04T23:28:21Z
30636696;Thundercel;82797;3;40179157;2016-06-21T12:01:37Z
30636727;Bonix-mapper;2030995;5;45792180;2017-02-03T22:15:51Z
30636731;Bonix-mapper;2030995;7;41595380;2016-08-21T15:02:55Z
30636732;Bonix-mapper;2030995;3;50393406;2017-07-19T02:10:40Z
30636733;Bonix-mapper;2030995;5;45817783;2017-02-04T23:28:21Z
30636734;Bonix-mapper;2030995;12;45817783;2017-02-04T23:28:22Z
30636769;Bonix-mapper;2030995;6;45817783;2017-02-04T23:28:22Z
30636771;Bonix-mapper;2030995;5;41619027;2016-08-22T16:56:36Z
30636772;Ygorre;578108;7;20797717;2014-02-26T20:15:25Z
30636773;Bonix-mapper;2030995;4;41619027;2016-08-22T16:56:37Z
30636803;Bonix-mapper;2030995;4;45609652;2017-01-29T03:06:55Z
30636804;O fim;1842197;2;21959745;2014-04-26T17:41:38Z
30636805;O fim;1842197;2;21959745;2014-04-26T17:41:38Z
31324397;Nyuriks;339581;9;51743977;2017-09-05T09:52:46Z
31324903;O fim;1842197;9;34963214;2015-10-30T01:36:34Z
31324906;Bonix-mapper;2030995;7;45817783;2017-02-04T23:28:22Z
31324912;Vgeorge;62817;3;2618476;2009-09-25T13:35:13Z
31325016;Bonix-mapper;2030995;7;45792180;2017-02-03T22:15:51Z
31325019;Bonix-mapper;2030995;10;45817452;2017-02-04T23:03:41Z
31325022;Bonix-mapper;2030995;5;45792180;2017-02-03T22:15:52Z
31325200;Bonix-mapper;2030995;4;45792180;2017-02-03T22:15:53Z
31325311;Alien9;2450358;13;26710363;2014-11-11T13:02:41Z
31325350;Bonix-mapper;2030995;4;45792180;2017-02-03T22:15:53Z
31325352;Bonix-mapper;2030995;4;45792180;2017-02-03T22:15:53Z
31383581;Rodolfogb20;2402504;6;38507117;2016-04-12T18:19:15Z
31383582;Cxs;251808;6;20178646;2014-01-24T15:12:37Z
31384047;Bonix-mapper;2030995;6;45812044;2017-02-04T18:23:33Z
31384050;Bonix-mapper;2030995;9;45812044;2017-02-04T18:23:34Z
31384537;Bonix-mapper;2030995;7;45670602;2017-01-31T01:46:36Z
31384927;Bonix-mapper;2030995;6;49985286;2017-07-02T13:56:00Z
31385178;Bonix-mapper;2030995;10;45817783;2017-02-04T23:28:22Z
31385368;Alemenezes;6214339;14;49781887;2017-06-23T21:29:15Z
31385370;Bonix-mapper;2030995;8;45781960;2017-02-03T15:40:46Z
31385371;Bonix-mapper;2030995;7;45781960;2017-02-03T15:40:46Z
31385427;Ygorre;578108;5;10984180;2012-03-15T00:55:38Z
31386100;Bonix-mapper;2030995;16;45811206;2017-02-04T17:45:14Z
31386102;Bonix-mapper;2030995;7;45811206;2017-02-04T17:45:14Z
31386103;Ygorre;578108;6;10994161;2012-03-15T23:30:24Z
31386105;Maiafelipe;494571;3;12192868;2012-07-12T07:13:25Z
31386106;O fim;1842197;7;34963214;2015-10-30T01:36:36Z
31386692;Bonix-mapper;2030995;7;45781960;2017-02-03T15:40:47Z
31386694;Bonix-mapper;2030995;9;45995423;2017-02-11T11:24:55Z
31386697;Bonix-mapper;2030995;11;45781960;2017-02-03T15:40:47Z
31387352;O fim;1842197;9;34963214;2015-10-30T01:36:35Z
31387357;O fim;1842197;6;34963214;2015-10-30T01:36:36Z
31387358;Bonix-mapper;2030995;10;45811206;2017-02-04T17:45:14Z
31389999;Ftrebien;401472;5;21455521;2014-04-02T12:22:52Z
31390001;Trevorinserts;1854688;4;20182791;2014-01-24T19:20:32Z
31390004;Bonix-mapper;2030995;5;45781960;2017-02-03T15:40:47Z
31390005;Bonix-mapper;2030995;6;45781960;2017-02-03T15:40:47Z
31390009;Cxs;251808;3;18816475;2013-11-10T13:39:41Z
31390019;O fim;1842197;7;21959745;2014-04-26T17:41:31Z
31390022;Bonix-mapper;2030995;11;41585444;2016-08-21T01:50:47Z
