id;key;value;type
14713922;Nome;Avenida Ernesto Igel;
14713922;Sentido único;Sim;
14713922;Superfície;Asfalto;
14714126;Rodovia;Secondário;
14714126;Velocidade Máxima;50;
14714126;Nome;Viaduto Domingos de Moares;
14714126;Sentido único;Sim;
14714126;Superfície;Pavimentado;
15059198;Rodovia;Secondário;
15059198;Phelper.istas;2;
15059198;Nome;Alameda Araguaia;
15059198;Sentido único;Sim;
15059198;CEP;06455000;
15059198;Superfície;Asfalto;
15060037;Rodovia;Residencial;
15060037;junction;roundabout;
15060037;Sentido único;Sim;
15060037;Superfície;Asfalto;
15060105;Rodovia;Terciário;
15060105;Sentido único;Sim;
15060105;Superfície;Asfalto;
15061083;Rodovia;Secondário;
15061083;Nome;Avenida Andromeda;
15061083;Sentido único;Sim;
15061313;Rodovia;Não classificado;
15061313;Nome;Avenida Delmar;
15061313;Sentido único;Sim;
15061454;Rodovia;Não classificado;
15061454;Sentido único;Sim;
15061492;Rodovia;service;
15061501;Rodovia;service;
15061501;Sentido único;Sim;
15061566;Rodovia;service;
15061575;Rodovia;service;
15061763;Rodovia;Secondário;
15061763;Phelper.istas;2;
15061763;Nome;AlamedaTocantins;
15061763;Sentido único;Sim;
15061763;Superfície;Asfalto;
15062104;Rodovia;Autoestrada;
15062104;Sentido único;Sim;
15062104;Superfície;Pavimentado;
15062147;Rodovia;Secondário;
15062147;Sentido único;Sim;
15062147;Superfície;Pavimentado;
15062178;Rodovia;Secondário;
15062178;junction;roundabout;
15062533;Rodovia;Autoestrada;
15062533;Sentido único;Sim;
15062533;Superfície;Asfalto;
15062858;Rodovia;Autoestrada;
15062858;Phelper.istas;2;
15062858;Nome;Acesso Osasco;
15062858;Sentido único;Sim;
15062858;Superfície;Asfalto;
15062982;Bicicleta;Sim;
15062982;Ponte;Sim;
15062982;Rodovia;primary_link;
15062982;Camadas;1;
15062982;Sentido único;Sim;
15062982;Superfície;Pavimentado;
15065168;Rodovia;Secondário;
15065168;Camadas;-1;
15065168;Sentido único;Sim;
15065168;Superfície;Asfalto;
15065199;Rodovia;Secondário;
15065199;Nome;Alameda Araguaia;
15065199;Sentido único;Sim;
15065199;Superfície;Asfalto;
15065227;Rodovia;Secondário;
15065227;Nome;Alameda Araguaia;
15065227;Sentido único;Sim;
15065227;CEP;06455000;
15065227;Superfície;Asfalto;
15065291;Rodovia;Secondário;
15065291;Nome;Alameda Araguaia;
15065291;Sentido único;Sim;
15065291;CEP;06455000;
15065291;Superfície;Asfalto;
15065375;Rodovia;service;
15065375;Sentido único;Sim;
15065421;Rodovia;service;
15065421;Sentido único;Sim;
15065512;Rodovia;service;
15065512;Sentido único;Sim;
15065512;service;Parque;
15065512;source;Bing;
15065512;Superfície;Pavimentado;
15065613;Rodovia;service;
15065613;Sentido único;Sim;
15065613;service;Parque;
15065613;source;Bing;
15065662;Rodovia;Secondário;
15065662;Nome;Alameda Araguaia;
15065662;Sentido único;Sim;
